SITEID,STA_SEQ,ID,Station_Name,EVALSTATUS,TNT,SurveyID,SurveyName,XlongDD,YlatDD,WGT,ALK,NH3,CA,Chloride,Nitrate,Nitrate_Nitrite,Nitrite,OrthoP,TN,TP,TS,TSS,MMI,BugAssess,LeastDisturbed,DiatomH,DiatomL,DiatomI,BugBCG,FishBCG
1.01,,,,LT1mi2,NonTarget,,2001-2005,-73.4826,42.0411,52.89861,,,,,,,,,,,,,,,,,,,,
1.02,,,,Pond,NonTarget,,2001-2005,-73.4116,42.0363,52.89861,,,,,,,,,,,,,,,,,,,,
1.03,,,,Pond,NonTarget,,2001-2005,-73.4228,42.0277,52.89861,,,,,,,,,,,,,,,,,,,,
1.04,,,,LT1mi2,NonTarget,,2001-2005,-73.4501,42.0355,52.89861,,,,,,,,,,,,,,,,,,,,
1.05,,,,Pond,NonTarget,,2001-2005,-73.4606,42.0245,52.89861,,,,,,,,,,,,,,,,,,,,
1.06,,,,Pond,NonTarget,,2001-2005,-73.424,42.032,52.89861,,,,,,,,,,,,,,,,,,,,
1.07,,,,NoAcc,Target,,2001-2005,-73.4152,42.043,52.89861,,,,,,,,,,,,,,,,,,,,
1.08,14880,S14880_2001_2005,Sages Ravine Brook,CMPLTE,Target,1,2001-2005,-73.4339,42.0497,52.89861,2,0.003,1990,1.5,0.002,0.002,0.003,0.001,0.008,0.003,36,2,60.09,Pass,1,0.177446103,0.258706468,4.068441065,BCG2,BCG1
10.01,,,,LT1mi2,NonTarget,,2001-2005,-73.3941,41.8549,190.00404,,,,,,,,,,,,,,,,,,,,
10.02,15000,S15000_2001_2005,Hollenbeck River,CMPLTE,Target,1,2001-2005,-73.3322,41.9581,190.00404,58,0.014,12390,5.133333333,0.0923,0.093,0.00267,0.009,0.319666667,0.0307,92,9.666666667,,,1,0.318333333,0.103333333,7.549407115,,BCG4
11.01,,,,Pond,NonTarget,,2001-2005,-73.2472,41.9259,154.04563,,,,,,,,,,,,,,,,,,,,
11.02,14842,S14842_2001_2005,Indian Meadow Brook,CMPLTE,Target,1,2001-2005,-73.0796,41.9319,154.04563,15.5,0.008,5895,14.325,0.105,0.105,0.003,0.00425,0.22575,0.00325,50.5,2.5,88.19,Pass,1,0.075907591,0.04620462,6.216216216,BCG2,BCG4
12.01,15001,S15001_2001_2005,Beach Brook,CMPLTE,Target,1,2001-2005,-72.8574,41.9459,141.48286,2,0.0127,1032.333333,2.066666667,0.00333,0.00333,0.003,0.001,0.149666667,0.00867,60,1.666666667,76.58,Pass,1,0.021666667,0.59,0.354223433,BCG2,BCG2
13.01,,,,LowGrad,Target,,2001-2005,-72.7539,42.003,157.77178,,,,,,,,,,,,,,,,,,,,
13.02,14840,S14840_2001_2005,Mountain Brook,CMPLTE,Target,1,2001-2005,-72.8398,41.9754,157.77178,2,0.003,1580,2.51,0.1,0.1,0.003,0.004,0.124,0.005,32,2,81.62,Pass,1,0.013157895,0.509868421,0.251572327,BCG2,BCG3
14.01,,,,LowGrad,Target,,2001-2005,-72.5398,41.9503,154.05185,,,,,,,,,,,,,,,,,,,,
14.02,,,,LowGrad,Target,,2001-2005,-72.6187,41.939,154.05185,,,,,,,,,,,,,,,,,,,,
14.03,,,,Canal_Aquadk,NonTarget,,2001-2005,-72.6255,41.921,154.05185,,,,,,,,,,,,,,,,,,,,
14.04,14996,S14996_2001_2005,Freshwater Brook,CMPLTE,Target,1,2001-2005,-72.5536,42.0014,154.05185,28.66666667,0.032,17666.66667,22.86666667,0.379333333,0.379333333,0.003,0.0267,0.656666667,0.046,140.6666667,4,,,,0.533333333,0.035,9.384164223,,BCG4
15.01,,,,Pond,NonTarget,,2001-2005,-72.2888,41.8696,117.36299,,,,,,,,,,,,,,,,,,,,
