"SITEID","STA_SEQ","ID","Station_Name","EVALSTATUS","TNT","SurveyID","SurveyName","XlongDD","YlatDD","WGT","BugAssess","BugBCG","Chloride"
"1.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.4826,42.0411,52.89861,"","",NA
"1.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.4116,42.0363,52.89861,"","",NA
"1.03",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.4228,42.0277,52.89861,"","",NA
"1.04",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.4501,42.0355,52.89861,"","",NA
"1.05",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.4606,42.0245,52.89861,"","",NA
"1.06",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.424,42.032,52.89861,"","",NA
"1.07",NA,"","","NoAcc","Target",NA,"2001-2005",-73.4152,42.043,52.89861,"","",NA
"1.08",14880,"S14880_2001_2005","Sages Ravine Brook","CMPLTE","Target",1,"2001-2005",-73.4339,42.0497,52.89861,"Pass","BCG2",1.5
"10.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.3941,41.8549,190.00404,"","",NA
"10.02",15000,"S15000_2001_2005","Hollenbeck River","CMPLTE","Target",1,"2001-2005",-73.3322,41.9581,190.00404,"","",5.133333333
"11.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.2472,41.9259,154.04563,"","",NA
"11.02",14842,"S14842_2001_2005","Indian Meadow Brook","CMPLTE","Target",1,"2001-2005",-73.0796,41.9319,154.04563,"Pass","BCG2",14.325
"12.01",15001,"S15001_2001_2005","Beach Brook","CMPLTE","Target",1,"2001-2005",-72.8574,41.9459,141.48286,"Pass","BCG2",2.066666667
"13.01",NA,"","","LowGrad","Target",NA,"2001-2005",-72.7539,42.003,157.77178,"","",NA
"13.02",14840,"S14840_2001_2005","Mountain Brook","CMPLTE","Target",1,"2001-2005",-72.8398,41.9754,157.77178,"Pass","BCG2",2.51
"14.01",NA,"","","LowGrad","Target",NA,"2001-2005",-72.5398,41.9503,154.05185,"","",NA
"14.02",NA,"","","LowGrad","Target",NA,"2001-2005",-72.6187,41.939,154.05185,"","",NA
"14.03",NA,"","","Canal_Aquadk","NonTarget",NA,"2001-2005",-72.6255,41.921,154.05185,"","",NA
"14.04",14996,"S14996_2001_2005","Freshwater Brook","CMPLTE","Target",1,"2001-2005",-72.5536,42.0014,154.05185,"","",22.86666667
"15.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-72.2888,41.8696,117.36299,"","",NA
"15.02",14865,"S14865_2001_2005","Skungamaug River","CMPLTE","Target",1,"2001-2005",-72.3523,41.8734,117.36299,"","",22.55
"16.01",15003,"S15003_2001_2005","Wappoquia Brook","CMPLTE","Target",1,"2001-2005",-71.9662,41.8756,133.61383,"Pass","",18.96666667
"17.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.9217,41.8998,228.78629,"","",NA
"17.02",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.8742,41.9717,228.78629,"","",NA
"17.03",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.8616,41.8759,228.78629,"","",NA
"17.04",NA,"","","Pond","NonTarget",NA,"2001-2005",-71.9149,41.8416,228.78629,"","",NA
"17.05",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-71.9524,41.9253,228.78629,"","",NA
"17.06",NA,"","","NoWade","NonTarget",NA,"2001-2005",-71.9227,41.8631,228.78629,"","",NA
"17.07",NA,"","","NoWade","NonTarget",NA,"2001-2005",-71.8325,41.9139,228.78629,"","",NA
"17.08",14878,"S14878_2001_2005","Mashamoquet Brook","CMPLTE","Target",1,"2001-2005",-71.9295,41.8491,228.78629,"","",14.3
"18.01",15004,"S15004_2001_2005","Housatonic River","CMPLTE","Target",1,"2001-2005",-73.41,41.7889,98.14326,"Pass","BCG3",31.625
"19.01",NA,"","","Pond","NonTarget",NA,"2001-2005",-73.2327,41.7442,206.40382,"","",NA
"19.02",14844,"S14844_2001_2005","Lake Waramaug Brook","CMPLTE","Target",1,"2001-2005",-73.3336,41.7234,206.40382,"Pass","BCG3",16.9
"2.01",NA,"","","LT1mi2","NonTarget",NA,"2001-2005",-73.2858,42.0055,143.63371,"","",NA
"2.02",NA,"","","LowGrad","Target",NA,"2001-2005",-73.3471,42.0332,143.63371,"","",NA
