ProjectIdentifier,staSeq,locationName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityTime,ActivityTimeZoneCodetimezone,ActivityRelativeDepthName,ActivityTopDepthMeasureValue,ActivityTopDepthMeasureUnitCode,ActivityBottomDepthMeasureValue,ActivityBottomDepthMeasureUnitCode,SampleCollectionMethodIdentifier,SampleCollectionEquipmentName,SampleCollectionEquipmentCommentText,ActivityConductingOrganizationText,ActivityCommentText,LaboratoryName,ActivityYlat,ActivityXlong,ActivityhorizCollectMethod,ActivityhorizRefDatum,LabAccession,CharacteristicName,MethodSpeciationName,ResultDetectionConditionText,ResultMeasureValue,ResultMeasureUnitCode,ResultValueTypeName,ResultSampleFractionText,ResultStatusIdentifier,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodContext,AnalysisStartDate,DetectionQuantitationTypeName,DetectionQuantitationLimitMeasureValue,DetectionLimitMeasureUnitCode,ResultComment,rstLastUpdateDate,actLastUpdateDate
macroInvertABM,14128,"Bantam River",14128-SR-20160929-115000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-09-29,11:50:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160366-020,Chloride,None,NULL,57.7,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-06,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14129,"Beacon Hill Brook",14129-SR-20160722-090000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-07-22,09:00:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160246-004,Chloride,None,NULL,67.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-28,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14129,"Beacon Hill Brook",14129-SR-20161005-104000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-05,10:40:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160372-008,Chloride,None,NULL,63,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14137,"Blackledge River",14137-SR-20170623-091600-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-06-23,09:16:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170119-014,Chloride,None,NULL,31.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-05,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14147,"Broad Brook",14147-SR-20170615-085300-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-06-15,08:53:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170119-002,Chloride,None,NULL,43.7,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-05,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
benthicAlgABM,14148,"Bunnell Brook",14148-SR-20170710-144500-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2017-07-10,14:45:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170152-006,Chloride,None,NULL,37,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-25,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14148,"Bunnell Brook",14148-SR-20171023-111000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-10-23,11:10:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170306-024,Chloride,None,NULL,36.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-11-01,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14153,"Coginchaug River",14153-SR-20170622-084000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-06-22,08:40:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170119-010,Chloride,None,NULL,42.1,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-05,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14172,"Deep Brook",14172-SR-20161021-092000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-21,09:20:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160389-015,Chloride,None,NULL,76.9,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-11-01,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14179,"East Branch Naugatuck River",14179-SR-20160622-120500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-06-22,12:05:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160195-011,Chloride,None,NULL,122,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-07,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
